Molecule,"Electronic state","Reduced mass","Te (cm^{-1})","omega_e (cm^{-1})","omega_ex_e (cm^{-1})","Be (cm^{-1})","alpha_e (cm^{-1})","De (10^{-7}cm^{-1})","Re (\AA)","D0 (eV)","IP (eV)",Reference,"Date of reference"
SrH,"A $^2\Pi$",0.99640162,,,,3.668,,1330,2.148,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SrH,"A $^2\Pi$",0.99640162,,,,3.679,,1130,2.144,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SrH,"B $^2\Sigma^+$",0.99640162,14340,1193,19,3.8788,0.093,1730,2.0885,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SrD,"X $^2\Sigma^+$",1.96898856,0,841,8.6,1.8609,0.0292,347,2.1449,1.7,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SrD,"B $^2\Sigma^+$",1.96898856,14335,857,10,1.9426,0.0349,402,2.0994,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SrO,"X $^1\Sigma^+$",13.53258615,0,653.49,3.96,0.33798,0.002194,3.6,1.91983,4.88,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SrO,"a $^3\Pi$",13.53258615,9149,463.5,1.61,0.2584,0.002,,2.196,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SrO,"A' $^1\Pi$",13.53258615,9400,472.8,2.06,0.2565,0.0017,,2.204,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SrO,"A $^1\Sigma^+$",13.53258615,10886.59,619.58,0.89,0.30471,0.00112,3.2,2.0219,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SrO,"B $^1\Pi$",13.53258615,24701,519.91,3.24,0.2937,0.0015,5,2.059,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SrS,"X $^1\Sigma^+$",23.444937,0,388.38,1.31,0.12072,0.00044,0.475,2.4405,3.48,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SrS,"B $^1\Sigma^+$",23.444937,39332.1,286.8,0.84,0.10566,0.00032,0.575,2.6087,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
TeS,"X$_1$ $0^+$",25.6573697,0,471.18,1.57,0.13216,0.0005,0.4,2.2297,3.5,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TeS,"X$_2$ $1$",25.6573697,,472,,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TeS,"A $0^+$",25.6573697,23549,204.23,1.018,0.09762,0.00075,0.7,2.594,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TeS,"B $0^+$",25.6573697,24530,250.3,3.37,0.1027,0.0012,1.1,2.529,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
ThO,"X $^1\Sigma^+$",14.96345018,0,895.77,2.39,0.33264,0.001302,1.833,1.84032,9,6,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1975"
ThO,"H $^1\Phi$",14.96345018,5321,864,2.4,0.326427,0.001258,1.864,1.85776,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1975"
ThO,"A $^1\Sigma^+$",14.96345018,10625.54,841.48,2.44,0.323044,0.001294,1.866,1.86746,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1975"
ThO,"B $^1\Pi$",14.96345018,11155.57,842.8,2.18,0.32364,0.00129,1.882,1.8638,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1975"
ThO,"B $^1\Pi$",14.96345018,11155.57,842.8,2.18,0.324973,0.001299,1.942,1.8638,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1975"
TiO,"X $^3\Delta$",11.99388519,0,1009.02,4.498,0.53541,0.00301,6.03,1.62022,6.87,6.4,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"X $^3\Delta$",11.99388519,96.4,1009.02,4.498,0.53541,0.00301,6.03,1.62022,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"X $^3\Delta$",11.99388519,197.5,1009.02,4.498,0.53541,0.00301,6.03,1.62022,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"a $^1\Delta$",11.99388519,,1009.3,3.93,0.5376,0.00298,5.9,1.61692,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"d $^1\Sigma^+$",11.99388519,,1014.6,4.64,0.54922,0.0037,6,1.59972,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"E $^3\Pi$",11.99388519,12025,924.2,5.1,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"A $^3\Phi$",11.99388519,14089.91,867.78,3.942,0.50739,0.00315,6.92,1.66436,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"A $^3\Phi$",11.99388519,14262.8,867.78,3.942,0.50739,0.00315,6.92,1.66436,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"A $^3\Phi$",11.99388519,14431,867.78,3.942,0.50739,0.00315,6.92,1.66436,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"b $^1\Pi$",11.99388519,,911.2,3.72,0.51337,0.00291,6.1,1.65464,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"B $^3\Pi$",11.99388519,16293.5,875,5,0.50617,,6.86,1.66636,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"B $^3\Pi$",11.99388519,16345.1,875,5,0.50617,,6.86,1.66636,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TiO,"B $^3\Pi$",11.99388519,16331.3,875,5,0.50617,,6.86,1.66636,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TlCl,"X $^1\Sigma^+$",29.8725631,0,283.75,0.818,0.091397022,0.00039932,0.3753,2.484826,3.82,9.7,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TlCl,"A $^3\Pi_0^+$",29.8725631,31049.4,223.1,11.4,0.09227,0.00131,0.75,2.473,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TlF,"X $^1\Sigma^+$",17.3868727,0,477.3,2.3,0.223150163,0.0015,1.948,2.084438,4.57,10.52,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TlF,"A $^3\Pi_0^+$",17.3868727,35186.02,436.3,7.1,0.23091,0.00274,2.81,2.0491,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
TlF,"B $^3\Pi_1$",17.38687,36863.08,366.64,10.22,0.22492,0.00307,3.92,2.0762,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
VO,"X $^4\Sigma^-$",12.17296119,0,1011.3,4.86,0.54825,0.00352,6,1.58932,6.41,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
VO,"B $^4\Pi$",12.17296119,12567,910.9,,,,6,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
VO,"B $^4\Pi$",12.17296119,12625,910.9,,,,6,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
VO,"B $^4\Pi$",12.17296119,12689,910.9,,,,6,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
VO,"B $^4\Pi$",12.17296119,12760.8,910.9,5,0.5246,0.004,6,1.625,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
XeCl,"X $^2\Sigma^+$",27.6410016,0,26.3,-0.28,,,,3.18,0.03,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
XeCl,"B $^2\Sigma^+$",27.6410016,32405,195.2,0.54,,,,2.94,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1977"
YbD,"X $^2\Sigma^+$",1.99104715,0,886.6,10.57,2.01162,0.03425,416,2.0516,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1976"
YbD,"a $^4\Sigma^+_{1/2}$",1.99104715,,,,2.1931,,480,1.9648,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1976"
YbD,"a $^4\Sigma^+_{3/2}$",1.99104715,13008.5,1084.4,9.84,2.3516,0.0371,340,1.8975,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1976"
YF,"X $^1\Sigma^+$",15.6534084,0,631.29,2.5,0.29042,0.00163,2.37,1.9257,6.2,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1976"
YF,"a $^3\Delta_1$",15.6534084,,581.2,2.39,0.285,,,1.944,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1976"
YF,"a $^3\Delta_2$",15.6534084,,582.3,2.42,0.285,,,1.944,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1976"
YF,"a $^3\Delta3/$",15.6534084,,583.5,2.49,0.285,,,1.944,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1976"
YF,"B $^1\Pi$",15.6534084,15934.2,534.67,2.35,0.26709,0.00156,2.61,2.008,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1976"
YO,"X $^2\Sigma^+$",13.55606469,0,861,2.93,0.3881,0.0018,3.2,1.79,7.29,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1975"
YO,"A $^2\Pi_r$",13.55606469,16315,820.7,3.5,0.3857,0.0023,3.5,1.7956,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1975"
YO,"A $^2\Pi_r$",13.55606469,16742.2,822.7,3.97,0.3857,0.0023,3.5,1.7956,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1975"
ZnH,"X $^2\Sigma^+$",0.99218372,0,1607.6,55.14,6.6794,0.25,4660,1.5949,0.851,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1975"
ZnH,"A $^1\Pi$",0.99218372,23276.9,1910.2,40.8,7.4332,0.2385,4482,1.5119,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1975"
ZrO,"X $^1\Sigma^+$",13.57906789,0,969.76,4.9,0.42263,0.0023,3.19,1.7116,7.85,6.1,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
ZrO,"a $^3\Delta$",13.57906789,,936.5,3.47,0.41328,0.00178,3.169,1.7285,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
ZrO,"a $^3\Delta$",13.57906789,,936.5,3.47,0.41475,0.0019,3.269,1.7285,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
ZrO,"a $^3\Delta$",13.57906789,,936.5,3.47,0.41573,0.00173,3.309,1.7285,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
ZrO,"A $^1\Delta$",13.57906789,,938.1,1.8,0.4167,0.0012,3.5,1.726,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
ZrO,"B $^1\Pi$",13.57906789,15443,859,3,0.40154,,3.52,1.7583,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
IrC,"X$_1$ $^2\Delta_{5/2}$",11.29743405,0,1060.1,4.53,0.5268,0.0032,5.2,1.683,6.45,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
IrC,"X$_2$ $^2\Delta_{3/2}$",11.29743405,,1030,,0.5272,0.0035,5.5,1.6824,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
IrC,"D $^2\Phi_{7/2}$",11.29743405,14413.5,935.7,5.96,0.5053,0.0038,5.9,1.7184,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
IrC,"E1 $^2\Delta_{5/2}$",11.29743405,15149.2,963.9,5.44,0.5132,0.004,6.2,1.7052,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
LiD,"X $^1\Sigma^+$",1.56487081,0,1054.8,12.935,4.2394,0.1,2756,1.5941,2.4509,7.7,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
LiD,"A $^1\Sigma^+$",1.56487081,26513,205.6,,1.6125,,3508,2.59,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
LiD,"B $^1\Pi$",1.56487081,34908.8,178.7,29.13,1.904,0.425,4400,2.379,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
MgF,"X $^2\Sigma^+$",10.6012334,0,711.69,4.94,0.51922,0.0047,10.8,1.75,4.75,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgF,"A $^2\Pi$",10.6012334,27816.1,746,3.97,0.52105,0.00327,3.8,1.7469,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgF,"B $^2\Sigma^+$",10.6012334,37167.3,750.94,5.6,0.53844,0.0051,10.83,1.7185,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
ScO,"A' $^2\Delta$",11.79747757,15029.8,845.9,4.9,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
ScO,"A' $^2\Delta$",11.79747757,15135.9,845.9,4.9,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
TiS,"X $^3\Delta$_1$",19.1816179,0,558.37,1.95,0.2018,0.0009,1.035,2.0825,4.75,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1975"
TiS,"X $^3\Delta_2$",19.1816179,90,558.3,1.95,0.20268,0.00092,1.095,2.0825,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1975"
TiS,"X $^3\Delta_3/$",19.1816179,185,558.17,1.95,0.20344,0.00092,1.12,2.0825,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1975"
TiS,"C $^3\Delta_1$",19.1816179,11624.3,,,0.18684,,1.06,2.161,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1975"
TiS,"C $^3\Delta_2$",19.1816179,11716,484.3,,0.1882,0.00099,1.2,2.161,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1975"
TiS,"C $^3\Delta_3/$",19.1816179,11806,484.12,,0.18905,0.00102,1.22,2.161,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1975"
YCl,"X $^1\Sigma$",25.0974229,0,380.7,1.3,0.116,0.0003,0.9,2.406,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
YCl,"C $^1\Sigma$",25.0974229,14907.6,324.5,1.14,0.1089,0.0007,0.9,2.484,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
BaS,"a $^3\Pi_0^+$",25.9547097,14570,235,,0.0785,,,2.88,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",
BeF,"B $^2\Sigma^+$",6.112585,49563.9,1350.8,9.9,1.57,0.014,,1.325,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","APR 1976"
BeH,"B $^1\Pi$",0.90645687,50882,2265.94,71.52,10.8495,0.1016,10350,1.3092,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
BeD,"B $^1\Pi$",1.64619882,50906,1646.22,25.15,5.9963,0.1217,3114,1.3068,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
BD,"B $^1\Sigma^+$",1.70262163,52348,1700.34,46.6,6.705,0.195,4000,1.2124,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","APR 1976"
BiH,"B $0^+$",1.00298823,21263,1643.07,47,5.3078,0.1861,2010,1.7795,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiD,"B $0^+$",1.994887609,21263.7,1185.1,25,2.6687,0.0644,507,1.7795,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiO,"B $^4\Sigma^-_{1/2}$",14.85773557,28738.2,483,5,0.206,0.0029,,2.09,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BO,"B $^2\Sigma^+$",6.52094009,43174.05,1281.69,10.66,1.5171,0.021,85,1.3054,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
BrCl,"X $^1\Sigma^+$",24.2317306,0,444.276,1.843,0.1524695,0.0007697,0.7183,2.136065,2.233,11.1,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
BrCl,"B $^3\Pi_0^+$",24.2317306,16879.91,222.68,2.884,0.107704,,1.01,2.5415,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
BS,"B $^2\Sigma^+$",8.18936774,36223.4,770,4,0.6311,,15.3,1.806,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
CaH,"B $^2\Sigma^+$",0.98303388,15762,1285,20,4.341,0.116,2020,1.9744,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
CaO,"A $^1\Sigma^+$",11.42292245,11554.8,718.9,2.11,0.40592,0.00137,5.4,1.9067,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CD,"B $^2\Sigma^-$",1.7246361,26043,1625.5,123.8,7.104,0.341,6360,1.173,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1976"
CN,"B $^2\Sigma^+$",6.46219329,25752,2163.9,20.2,1.973,0.023,66,1.15,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CP,"B $^2\Sigma^+$",8.64911823,29100.4,836.32,5.917,0.6829,0.00628,18.2,1.6894,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CuBr,"X $^1\Sigma^+$",35.0114277,0,314.8,0.96,0.10192625,0.00045214,0.3,2.261,3.43,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1975"
CuBr,"A $^1\Pi$",35.0114277,20498.5,296.13,1.01,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1975"
CuBr,"B $^1\Pi$",35.0114277,23044.7,284.22,1.32,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1975"
CuBr,"C $^1\Sigma^+$",35.0114277,23460.9,294.7,1.06,0.0942,0.00041,0.42737,2.173441,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1975"
CuF,"B $^1\Sigma^+$",14.5928363,1917.5,657,3.92,0.3716,0.0032,4.8,1.7632,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
CuH,"B $^3\Pi_0^+$",0.99193919,26420.9,1669.7,51.2,6.582,0.29,4050,1.6069,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
CuD,"B $^3\Pi_0^+$",1.95163876,26381.8,1222,35.7,3.317,0.086,1200,1.6137,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
GaCl,"B $^3\Pi_1$",23.1990149,29859.4,395.3,2.5,0.15686,,,2.1523,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
GaF,"B $^3\Pi_1$",14.8932747,33427.8,662.1,1.45,0.37198,0.00302,,1.68167,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
GeF,"B $^2\Sigma^+$",15.1139772,35010.85,796.99,3.613,0.3944,0.00255,3.88,1.86582,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
HfO,"B $^1\Pi_0$",14.68923287,17562.22,907.01,3.38,0.377537,0.0018,2.618,1.7429,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
HfO,"B $^1\Pi_0$",14.68923287,17562.22,907.01,3.38,0.37806,0.00182,2.63,1.7429,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
ICl,"B $^3\Pi_0^+$",27.4146708,17363.1,221.1,9.62,0.0872,0.0017,0.1,2.66,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
InCl,"B $^3\Pi_1$",26.8097927,28560.2,339.4,2.1,0.1152,,0.24,2.336,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
InF,"A $^3\Pi_0^+$",16.3028614,31255.74,575.25,2.63,0.27362,0.00204,2.5,1.944,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
MgH,"B' $^2\Sigma^+$",0.96718516,22410.5,828,11.6,2.596,,1200,2.597,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
